"GEOID","NAME","fem_bachelor","fem_doctorate","fem_highschool","fem_noschool","fem_ovr_25","male_bachelor","male_doctorate","male_highschool","male_noschool","male_ovr_25","pop_ovr_25"
"42101020102","Census Tract 201.02, Philadelphia County, Pennsylvania",119,0,406,6,1141,69,0,365,5,827,1968
"42101020200","Census Tract 202, Philadelphia County, Pennsylvania",32,0,819,2,1679,24,0,742,56,1558,3237
"42101020300","Census Tract 203, Philadelphia County, Pennsylvania",57,0,356,37,896,48,0,507,0,872,1768
"42101020400","Census Tract 204, Philadelphia County, Pennsylvania",50,0,519,9,984,23,0,399,0,671,1655
"42101020500","Census Tract 205, Philadelphia County, Pennsylvania",52,0,509,18,1020,0,0,541,0,953,1973
"42101020600","Census Tract 206, Philadelphia County, Pennsylvania",160,20,132,17,596,83,20,138,0,504,1100
"42101020700","Census Tract 207, Philadelphia County, Pennsylvania",467,19,380,0,2120,606,45,280,0,1825,3945
"42101020800","Census Tract 208, Philadelphia County, Pennsylvania",296,19,34,0,833,250,9,93,0,648,1481
"42101020900","Census Tract 209, Philadelphia County, Pennsylvania",221,34,316,0,952,451,16,308,13,1157,2109
"42101021000","Census Tract 210, Philadelphia County, Pennsylvania",699,26,545,0,1946,805,94,509,22,2023,3969
"42101021100","Census Tract 211, Philadelphia County, Pennsylvania",347,14,234,13,1005,232,49,170,0,866,1871
"42101021200","Census Tract 212, Philadelphia County, Pennsylvania",182,7,269,0,866,233,9,282,0,865,1731
"42101021300","Census Tract 213, Philadelphia County, Pennsylvania",260,56,425,0,1290,488,33,307,0,1490,2780
"42101021400","Census Tract 214, Philadelphia County, Pennsylvania",449,17,392,0,1436,687,28,511,13,1860,3296
"42101021500","Census Tract 215, Philadelphia County, Pennsylvania",375,49,281,47,1480,527,32,262,19,1282,2762
"42101021600","Census Tract 216, Philadelphia County, Pennsylvania",163,25,258,0,787,214,22,219,11,846,1633
"42101021700","Census Tract 217, Philadelphia County, Pennsylvania",532,15,838,11,2552,342,49,645,1,2102,4654
"42101021800","Census Tract 218, Philadelphia County, Pennsylvania",553,147,451,0,1797,460,33,341,1,1407,3204
"42101021900","Census Tract 219, Philadelphia County, Pennsylvania",125,17,134,0,678,150,13,164,6,561,1239
"42101022000","Census Tract 220, Philadelphia County, Pennsylvania",234,9,193,15,803,165,17,102,0,542,1345
"42101023100","Census Tract 231, Philadelphia County, Pennsylvania",158,39,50,0,522,176,46,17,3,453,975
"42101023500","Census Tract 235, Philadelphia County, Pennsylvania",178,45,59,0,533,131,55,81,1,462,995
"42101023600","Census Tract 236, Philadelphia County, Pennsylvania",279,53,123,0,1147,206,25,185,0,816,1963
"42101023700","Census Tract 237, Philadelphia County, Pennsylvania",370,49,462,24,2346,403,82,321,0,1665,4011
"42101023800","Census Tract 238, Philadelphia County, Pennsylvania",412,8,374,0,1881,203,36,626,3,1417,3298
"42101023900","Census Tract 239, Philadelphia County, Pennsylvania",161,33,98,0,591,144,66,57,20,508,1099
"42101024000","Census Tract 240, Philadelphia County, Pennsylvania",386,29,251,0,1425,164,54,288,0,1117,2542
"42101024100","Census Tract 241, Philadelphia County, Pennsylvania",60,6,253,4,670,45,10,231,5,556,1226
"42101024200","Census Tract 242, Philadelphia County, Pennsylvania",153,30,559,11,1457,153,19,442,24,971,2428
"42101024300","Census Tract 243, Philadelphia County, Pennsylvania",180,13,504,0,1246,159,8,377,0,894,2140
"42101024400","Census Tract 244, Philadelphia County, Pennsylvania",156,0,281,47,1187,53,0,377,41,837,2024
"42101024500","Census Tract 245, Philadelphia County, Pennsylvania",150,0,447,15,1335,57,6,288,17,725,2060
"42101024600","Census Tract 246, Philadelphia County, Pennsylvania",39,0,338,10,977,35,0,237,18,619,1596
"42101024700","Census Tract 247, Philadelphia County, Pennsylvania",157,0,570,9,1538,128,17,410,37,1174,2712
"42101024800","Census Tract 248, Philadelphia County, Pennsylvania",87,0,287,18,745,31,0,236,10,588,1333
"42101024900","Census Tract 249, Philadelphia County, Pennsylvania",67,0,474,0,1201,41,0,304,16,750,1951
"42101025200","Census Tract 252, Philadelphia County, Pennsylvania",233,9,933,0,2670,120,28,684,0,2160,4830
"42101025300","Census Tract 253, Philadelphia County, Pennsylvania",242,27,439,11,1472,77,0,582,10,1292,2764
"42101025400","Census Tract 254, Philadelphia County, Pennsylvania",408,24,436,0,1824,271,0,381,29,1351,3175
"42101025500","Census Tract 255, Philadelphia County, Pennsylvania",245,24,126,0,946,171,48,274,20,1068,2014
"42101025600","Census Tract 256, Philadelphia County, Pennsylvania",266,22,135,0,1174,133,74,132,0,903,2077
"42101025700","Census Tract 257, Philadelphia County, Pennsylvania",426,59,322,0,1606,281,64,130,0,1130,2736
"42101025800","Census Tract 258, Philadelphia County, Pennsylvania",162,32,159,4,778,64,11,160,8,459,1237
"42101025900","Census Tract 259, Philadelphia County, Pennsylvania",250,0,551,0,1913,188,0,551,41,1412,3325
"42101026000","Census Tract 260, Philadelphia County, Pennsylvania",281,0,376,21,1352,190,0,285,10,1028,2380
"42101026100","Census Tract 261, Philadelphia County, Pennsylvania",248,0,497,0,1512,113,9,352,0,1144,2656
"42101026200","Census Tract 262, Philadelphia County, Pennsylvania",396,27,451,0,1885,110,0,724,10,1295,3180
"42101026301","Census Tract 263.01, Philadelphia County, Pennsylvania",235,6,542,9,1634,85,1,456,23,1089,2723
"42101026302","Census Tract 263.02, Philadelphia County, Pennsylvania",309,0,910,0,2512,152,0,652,20,1568,4080
"42101026400","Census Tract 264, Philadelphia County, Pennsylvania",391,0,824,20,2561,85,0,660,68,1426,3987
"42101026500","Census Tract 265, Philadelphia County, Pennsylvania",200,0,735,68,1815,22,0,650,0,1202,3017
"42101026600","Census Tract 266, Philadelphia County, Pennsylvania",321,0,668,28,2388,248,0,1164,49,2075,4463
"42101026700","Census Tract 267, Philadelphia County, Pennsylvania",241,0,955,34,2685,53,0,476,2,1306,3991
"42101026800","Census Tract 268, Philadelphia County, Pennsylvania",199,15,467,5,1825,239,8,566,6,1455,3280
"42101026900","Census Tract 269, Philadelphia County, Pennsylvania",159,0,255,31,898,99,11,243,0,714,1612
"42101027000","Census Tract 270, Philadelphia County, Pennsylvania",264,3,184,23,996,195,24,315,3,1001,1997
"42101027100","Census Tract 271, Philadelphia County, Pennsylvania",125,14,311,68,976,105,0,308,68,1088,2064
